kode;forbrydelse;paragraf;kapitel
75119;Indbrud i offentligt kontor/bygning i øvrigt;Straffelov § 276a;28. kapitel – formueforbrydelser
75120;Indbrud i kaserne (våben/ammunition);Straffelov § 276a;28. kapitel – formueforbrydelser
75131;Indbrud i bankiers/vekselerer o.l.;Straffelov § 276a;28. kapitel – formueforbrydelser
75132;Indbrud i biograf/teater;Straffelov § 276a;28. kapitel – formueforbrydelser
75133;Indbrud i campingplads/vandrerhjem;Straffelov § 276a;28. kapitel – formueforbrydelser
75134;Indbrud i tankstation/autohandler;Straffelov § 276a;28. kapitel – formueforbrydelser
75135;Indbrud i privat institution;Straffelov § 276a;28. kapitel – formueforbrydelser
75136;Indbrud i beboerklubber;Straffelov § 276a;28. kapitel – formueforbrydelser
75139;Indbrud i privat kontor i øvrigt;Straffelov § 276a;28. kapitel – formueforbrydelser
75140;Indbrud i selskabslokaler;Straffelov § 276a;28. kapitel – formueforbrydelser
75141;Indbrud i pengeinstitut;Straffelov § 276a;28. kapitel – formueforbrydelser
75150;Indbrud i sportsforretning;Straffelov § 276a;28. kapitel – formueforbrydelser
75151;Indbrud i beklædnings-/skind-/fodtøjsforretning;Straffelov § 276a;28. kapitel – formueforbrydelser
75152;Indbrud i kiosk/cigar-/vinhandel;Straffelov § 276a;28. kapitel – formueforbrydelser
75153;Indbrud i købmand/supermarked/mejeri;Straffelov § 276a;28. kapitel – formueforbrydelser
75154;Indbrud i radio-/fotoforretning;Straffelov § 276a;28. kapitel – formueforbrydelser
75155;Indbrud i urmager/guldsmed;Straffelov § 276a;28. kapitel – formueforbrydelser
75156;Indbrud i cafeteria/restaurant;Straffelov § 276a;28. kapitel – formueforbrydelser
75157;Indbrud i hotel/motel;Straffelov § 276a;28. kapitel – formueforbrydelser
75158;Indbrud i EDB-forretning;Straffelov § 276a;28. kapitel – formueforbrydelser
75159;Indbrud i optikerforretning;Straffelov § 276a;28. kapitel – formueforbrydelser
75169;Indbrud i forretning i øvrigt;Straffelov § 276a;28. kapitel – formueforbrydelser
75170;Indbrud i våbenlager/-fabrik/-forretning;Straffelov § 276a;28. kapitel – formueforbrydelser
75171;Indbrud i fabrik;Straffelov § 276a;28. kapitel – formueforbrydelser
75172;Indbrud i lager o.l.;Straffelov § 276a;28. kapitel – formueforbrydelser
75173;Indbrud i værksted;Straffelov § 276a;28. kapitel – formueforbrydelser
75174;Indbrud i tømmerhandel/byggemarked;Straffelov § 276a;28. kapitel – formueforbrydelser
75175;Indbrud i EDB-virksomhed;Straffelov § 276a;28. kapitel – formueforbrydelser
75179;Indbrud i virksomhed i øvrigt;Straffelov § 276a;28. kapitel – formueforbrydelser
75181;Indbrud i apotek;Straffelov § 276a;28. kapitel – formueforbrydelser
75182;Indbrud i hospital;Straffelov § 276a;28. kapitel – formueforbrydelser
75183;Indbrud i lægekonsultation o.l.;Straffelov § 276a;28. kapitel – formueforbrydelser
75184;Indbrud i øvrigt;Straffelov § 276a;28. kapitel – formueforbrydelser
75191;Pengeskabstyveri ved skærebrænder (Udgået 2019);Straffelov § 276;28. kapitel – formueforbrydelser
75192;Pengeskabstyveri ved sprængstof (Udgået 2019);Straffelov § 276;28. kapitel – formueforbrydelser
75193;Pengeskabstyveri ved vinkelslibere (Udgået 2019);Straffelov § 276;28. kapitel – formueforbrydelser
75194;Pengeskabstyveri;Straffelov § 276;28. kapitel – formueforbrydelser
75211;Indbrud i villa o.l.;Straffelov § 276a;28. kapitel – formueforbrydelser
75212;Indbrud i lejlighed;Straffelov § 276a;28. kapitel – formueforbrydelser
75213;Indbrud i værelse;Straffelov § 276a;28. kapitel – formueforbrydelser
75214;Indbrud i skib/båd (fast bemandede);Straffelov § 276a;28. kapitel – formueforbrydelser
75215;Indbrud i nybygning/prøvehus;Straffelov § 276a;28. kapitel – formueforbrydelser
75216;Indbrud i skib/båd (lystbåde);Straffelov § 276a;28. kapitel – formueforbrydelser
75217;Indbrud i landejendom;Straffelov § 276a;28. kapitel – formueforbrydelser
75311;Indbrud i fritidshus;Straffelov § 276a;28. kapitel – formueforbrydelser
75312;Indbrud i garage/udhus;Straffelov § 276a;28. kapitel – formueforbrydelser
75313;Indbrud i kælder-/lofts-/pulterrum;Straffelov § 276a;28. kapitel – formueforbrydelser
75314;Indbrud i campingvogn;Straffelov § 276a;28. kapitel – formueforbrydelser
75315;Indbrud i kolonihavehus;Straffelov § 276a;28. kapitel – formueforbrydelser
75331;Indbrud i arbejdsskur/kontorvogn o.l.;Straffelov § 276a;28. kapitel – formueforbrydelser
75332;Indbrud i isbod/pølsebod;Straffelov § 276a;28. kapitel – formueforbrydelser
75411;Tyveri af registreret køretøj;Straffelov § 276;28. kapitel – formueforbrydelser
75421;Tyveri af knallert;Straffelov § 276;28. kapitel – formueforbrydelser
75431;Tyveri af cykel;Straffelov § 276;28. kapitel – formueforbrydelser
75432;Tyveri af barnevogn/klapvogn;Straffelov § 276;28. kapitel – formueforbrydelser
75441;Tyveri af uregistreret køretøj;Straffelov § 276;28. kapitel – formueforbrydelser
75442;Tyveri af skib/båd/fly;Straffelov § 276;28. kapitel – formueforbrydelser
75511;Tyveri fra personbil;Straffelov § 276;28. kapitel – formueforbrydelser
75512;Tyveri fra lastbil/varebil;Straffelov § 276;28. kapitel – formueforbrydelser
75513;Tyveri fra motorcykel/scooter;Straffelov § 276;28. kapitel – formueforbrydelser
75514;Tyveri fra knallert;Straffelov § 276;28. kapitel – formueforbrydelser
75515;Tyveri fra cykel;Straffelov § 276;28. kapitel – formueforbrydelser
75516;Tyveri fra både;Straffelov § 276;28. kapitel – formueforbrydelser
75519;Tyveri fra andet køretøj;Straffelov § 276;28. kapitel – formueforbrydelser
75531;Tyveri fra automat i møntvaskeri etc.;Straffelov § 276;28. kapitel – formueforbrydelser
75532;Tyveri fra benzinautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75533;Tyveri fra frimærkeautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75534;Tyveri fra vareautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75535;Tyveri fra telefonautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75536;Tyveri fra parkometerautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75537;Tyveri fra spilleautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75551;Tyveri fra cafeteria/restaurant;Straffelov § 276;28. kapitel – formueforbrydelser
75552;Tyveri fra hotel/motel;Straffelov § 276;28. kapitel – formueforbrydelser
75553;Tyveri fra kasseapparat;Straffelov § 276;28. kapitel – formueforbrydelser
75560;Butikstyveri fra andre forretninger;Straffelov § 276;28. kapitel – formueforbrydelser
75561;Butikstyveri beklædning/skind/fodtøj;Straffelov § 276;28. kapitel – formueforbrydelser
75562;Butikstyveri kiosk/cigar-/vinhandel;Straffelov § 276;28. kapitel – formueforbrydelser
75563;Butikstyveri købmand/supermarked/mejeri;Straffelov § 276;28. kapitel – formueforbrydelser
75564;Butikstyveri radio-/fotoforretning;Straffelov § 276;28. kapitel – formueforbrydelser
75565;Butikstyveri urmager/guldsmed;Straffelov § 276;28. kapitel – formueforbrydelser
75566;Butikstyveri møntvaskeri;Straffelov § 276;28. kapitel – formueforbrydelser
75567;Tyveri fra udstilling;Straffelov § 276;28. kapitel – formueforbrydelser
75568;Tyveri fra møntvaskeri;Straffelov § 276;28. kapitel – formueforbrydelser
75569;Tyveri fra andre butikker;Straffelov § 276;28. kapitel – formueforbrydelser
75570;Butikstyveri, tricktyveri;Straffelov § 276;28. kapitel – formueforbrydelser
75571;Rudeknusningstyveri radio-/fotoforretning;Straffelov § 276;28. kapitel – formueforbrydelser
75572;Rudeknusningstyveri fra urmager/guldsmed;Straffelov § 276;28. kapitel – formueforbrydelser
75574;Tyveri, tricktyveri på gadeplan (Ny fra 2013, med i Offerstatistikken fra 2014);Straffelov § 276;28. kapitel – formueforbrydelser
75579;Rudeknusningstyveri i øvrigt;Straffelov § 276;28. kapitel – formueforbrydelser
75580;Tyveri, tricktyveri i beboelse (Udgået 2018);Straffelov § 276;28. kapitel – formueforbrydelser
75581;Tyveri fra campingplads;Straffelov § 276;28. kapitel – formueforbrydelser
75582;Tyveri fra garderobe;Straffelov § 276;28. kapitel – formueforbrydelser
75583;Tyveri fra skole/fritidshjem o.l.;Straffelov § 276;28. kapitel – formueforbrydelser
75584;Tyveri fra lejlighed/værelse/etageejendom;Straffelov § 276;28. kapitel – formueforbrydelser
75585;Tyveri fra villa/landejendom;Straffelov § 276;28. kapitel – formueforbrydelser
75586;Tyveri fra kælder o.l.;Straffelov § 276;28. kapitel – formueforbrydelser
75587;Tyveri fra svømmehal/idrætsanlæg/omklædningsrum;Straffelov § 276;28. kapitel – formueforbrydelser
75588;Tyveri fra udhængsskab;Straffelov § 276;28. kapitel – formueforbrydelser
75589;Tyveri fra hospital/plejehjem;Straffelov § 276;28. kapitel – formueforbrydelser
75590;Tyveri fra fritidshus;Straffelov § 276;28. kapitel – formueforbrydelser
75591;Tyveri fra institution;Straffelov § 276;28. kapitel – formueforbrydelser
75592;Tyveri fra kontor;Straffelov § 276;28. kapitel – formueforbrydelser
75593;Tyveri fra kaserne;Straffelov § 276;28. kapitel – formueforbrydelser
75594;Tyveri fra byggeplads;Straffelov § 276;28. kapitel – formueforbrydelser
75595;Tyveri fra døgnboks;Straffelov § 276;28. kapitel – formueforbrydelser
75596;Tyveri fra kaserne (våben/ammunition);Straffelov § 276;28. kapitel – formueforbrydelser
75597;Tyveri fra pengeautomat;Straffelov § 276;28. kapitel – formueforbrydelser
75598;Tyveri fra garage/udhus;Straffelov § 276;28. kapitel – formueforbrydelser
75599;Tyveri fra andre steder;Straffelov § 276;28. kapitel – formueforbrydelser
75601;Tyveri af afgrøde (korn o.l.);Straffelov § 276;28. kapitel – formueforbrydelser
75602;Tyveri af benzin/olie;Straffelov § 276;28. kapitel – formueforbrydelser
75603;Tyveri af el/gas;Straffelov § 276;28. kapitel – formueforbrydelser
75604;Tyveri af forsendelse;Straffelov § 276;28. kapitel – formueforbrydelser
75605;Tyveri af husdyr;Straffelov § 276;28. kapitel – formueforbrydelser
75606;Tyveri af nummerplader;Straffelov § 276;28. kapitel – formueforbrydelser
75607;Tyveri fra lomme/taske/bagage;Straffelov § 276;28. kapitel – formueforbrydelser
75608;Tyveri af taske/bagage;Straffelov § 276;28. kapitel – formueforbrydelser
75609;Tyveri i tog/skib/fly/bus;Straffelov § 276;28. kapitel – formueforbrydelser
75611;Tyveri i lufthavne;Straffelov § 276;28. kapitel – formueforbrydelser
75612;Tyveri i forbindelse med prostitution;Straffelov § 276;28. kapitel – formueforbrydelser
75613;Tyveri på  banegårde;Straffelov § 276;28. kapitel – formueforbrydelser
75614;Tyveri af narkotika;Straffelov § 276;28. kapitel – formueforbrydelser
75615;Tyveri i plads (tyveri fra arbejdsgiver);Straffelov § 276;28. kapitel – formueforbrydelser
75616;Tyveri i forbindelse med vold;Straffelov § 276;28. kapitel – formueforbrydelser
75619;Tyveri i øvrigt;Straffelov § 276;28. kapitel – formueforbrydelser
75621;Tyveri af våben;Straffelov § 276;28. kapitel – formueforbrydelser
75622;Tyveri af fiskeredskaber/-garn o.l.;Straffelov § 276;28. kapitel – formueforbrydelser
75623;Tyveri af metaller (skrot/afklip/afbrænding);Straffelov § 276;28. kapitel – formueforbrydelser
75701;Ulovlig omgang med hittegods;Straffelov § 277;28. kapitel – formueforbrydelser
76111;Underslæb/tilegnelse af ting;Straffelov § 278, stk. 1, nr. 1;28. kapitel – formueforbrydelser
76112;Fragåelsesunderslæb;Straffelov § 278, stk. 1, nr. 2;28. kapitel – formueforbrydelser
76113;Underslæb/forbrug af penge;Straffelov § 278, stk. 1, nr. 3;28. kapitel – formueforbrydelser
76114;Underslæb med hensyn til våben/ammunition;Straffelov § 278;28. kapitel – formueforbrydelser
76115;Underslæb/anvendelse af EDB-materiale;Straffelov § 278;28. kapitel – formueforbrydelser
76141;Bedrageri;Straffelov § 279;28. kapitel – formueforbrydelser
76142;Bedrageri checks, overtræk egen konto;Straffelov § 279;28. kapitel – formueforbrydelser
76143;Bedrageri, stjålne checks;Straffelov § 279;28. kapitel – formueforbrydelser
76144;Socialbedrageri;Straffelov § 279;28. kapitel – formueforbrydelser
76145;Bedrageri dankort, overtræk egen konto;Straffelov § 279;28. kapitel – formueforbrydelser
76146;Bedrageri øvrige kontokort, egen konto;Straffelov § 279;28. kapitel – formueforbrydelser
76147;Bedrageri øvrige kontokort, stjålne;Straffelov § 279;28. kapitel – formueforbrydelser
76148;Bedrageri, arbejdsløshedskasse;Straffelov § 279;28. kapitel – formueforbrydelser
76149;Bedrageri, stjålne dankort;Straffelov § 279;28. kapitel – formueforbrydelser
76151;Databedrageri;Straffelov § 279a;28. kapitel – formueforbrydelser
76171;Mandatsvig;Straffelov § 280;28. kapitel – formueforbrydelser
76172;Mandatsvig checks;Straffelov § 280;28. kapitel – formueforbrydelser
76173;Mandatsvig dankort;Straffelov § 280;28. kapitel – formueforbrydelser
76181;Mandatsvig, anvendelse af EDB-materiale;Straffelov § 280;28. kapitel – formueforbrydelser
76211;Afpresning;Straffelov § 281;28. kapitel – formueforbrydelser
76221;Åger;Straffelov § 282;28. kapitel – formueforbrydelser
76231;Skyldnersvig;Straffelov § 283;28. kapitel – formueforbrydelser
76241;Hæleri;Straffelov § 284;28. kapitel – formueforbrydelser
76242;Hæleri med hensyn til våben/ammunition;Straffelov § 284;28. kapitel – formueforbrydelser
76311;Røveri mod pengeinstitut;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76312;Røveri mod offentligt kontor;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76313;Røveri mod forretning;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76314;Røveri mod tankstation;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76315;Røveri mod værditransport;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76316;Røveri, kassetterøveri;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76317;Røveri mod person i egen bolig (Ny fra 2008);Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76319;Røveri mod andre;Straffelov § 288, stk. 1;28. kapitel – formueforbrydelser
76321;Særligt farligt røveri mod pengeinstitut;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76322;Særligt farligt røveri mod offentligt kontor;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76323;Særligt farligt røveri mod forretning;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76324;Særligt farligt røveri mod tankstation;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76325;Særligt farligt røveri mod værditransport;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76326;Særligt farligt røveri, kassetterøveri;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76327;Særligt farligt røveri mod person i egen bolig (Ny fra 2008);Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76329;Særligt farligt røveri mod andre;Straffelov § 288, stk. 2;28. kapitel – formueforbrydelser
76401;Grov skattesvig;Straffelov § 289, 1. pkt.;28. kapitel – formueforbrydelser
76402;Grov momssvig;Straffelov § 289, 1. pkt.;28. kapitel – formueforbrydelser
76403;Svig med EU-midler;Straffelov § 289a;28. kapitel – formueforbrydelser
76404;Socialbedrageri;Straffelov § 289a;28. kapitel – formueforbrydelser
76405;Bedrageri, arbejdsløshedskasse;Straffelov § 289a;28. kapitel – formueforbrydelser
76501;Groft smugleri;Straffelov § 289, 2. pkt.;28. kapitel – formueforbrydelser
76601;Hæleri;Straffelov § 290, stk. 1;28. kapitel – formueforbrydelser
76602;Hæleri, groft/forretningsmæssig;Straffelov § 290, stk. 2;28. kapitel – formueforbrydelser
76611;Hæleri med hensyn til narkotika;Straffelov § 290, stk. 1;28. kapitel – formueforbrydelser
76612;Hæleri med hensyn til narkotika - groft;Straffelov § 290, stk. 2;28. kapitel – formueforbrydelser
76621;Hæleri med hensyn til våben/ammunition;Straffelov § 290, stk. 1;28. kapitel – formueforbrydelser
76622;Hæleri med hensyn til våben/ammunition, groft;Straffelov § 290, stk. 2;28. kapitel – formueforbrydelser
76631;Hvidvask;Straffelov § 290 a, stk.1;28. kapitel – formueforbrydelser
76633;Hvidvask, groft/forretningsmæssig;Straffelov § 290 a, stk.2;28. kapitel – formueforbrydelser
77111;Hærværk;Straffelov § 291, stk. 1;28. kapitel – formueforbrydelser
77112;Groft hærværk;Straffelov § 291, stk. 2;28. kapitel – formueforbrydelser
77113;Groft uagtsomt hærværk;Straffelov § 291, stk. 3;28. kapitel – formueforbrydelser
77114;Hærværk, graffiti;Straffelov § 291, stk. 1;28. kapitel – formueforbrydelser
77115;Hærværk, groft, graffiti;Straffelov § 291, stk. 2;28. kapitel – formueforbrydelser
77116;Hærværk, skærpende omstændigheder;Straffelov § 291, stk. 1, jf. stk. 4;28. kapitel – formueforbrydelser
77117;Hærværk, groft (skærpende omstændighed);Straffelov § 291, stk. 2, jf. stk. 4;28. kapitel – formueforbrydelser
77118;Hærværk, graffiti (skærpende omstændighed);Straffelov § 291, stk. 1, jf. stk. 4;28. kapitel – formueforbrydelser
77119;Hærværk, groft, graffiti (skærpende omstændighed);Straffelov § 291, stk. 2, jf. stk. 4;28. kapitel – formueforbrydelser
77121;Hærværk med hensyn til EDB-materiale;Straffelov § 291;28. kapitel – formueforbrydelser
77141;Ødelæggelse af egne ting;Straffelov § 292, stk. 1;28. kapitel – formueforbrydelser
77271;Brugstyveri af registreret personbil;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77272;Brugstyveri af lastbil/varebil;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77273;Brugstyveri af registreret motorcykel/scooter;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77274;Brugstyveri af udlejningskøretøj;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77275;Brugstyveri af uregistreret personbil;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77276;Brugstyveri af uregistreret lastbil/varebil;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77277;Brugstyveri af uregistreret motorcykel/scooter;Straffelov § 293, stk, 1;28. kapitel – formueforbrydelser
77278;Brugstyveri af skib/båd/fly;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77279;Brugstyveri af påhængskøretøj, registreret knallert m.v.;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77281;Brugstyveri af registreret personbil;Straffelov § 293a;28. kapitel – formueforbrydelser
77282;Brugstyveri af registreret lastbil/varebil;Straffelov § 293a;28. kapitel – formueforbrydelser
77283;Brugstyveri af registreret motorcykel/scooter;Straffelov § 293a;28. kapitel – formueforbrydelser
77284;Brugstyveri af udlejningskøretøj;Straffelov § 293a;28. kapitel – formueforbrydelser
77285;Brugstyveri af uregistreret personbil;Straffelov § 293a;28. kapitel – formueforbrydelser
77286;Brugstyveri af uregistreret lastbil/varebil;Straffelov § 293a;28. kapitel – formueforbrydelser
77287;Brugstyveri af uregistreret motorcykel/scooter;Straffelov § 293a;28. kapitel – formueforbrydelser
77289;Brugstyveri af andet motorkøretøj;Straffelov § 293a;28. kapitel – formueforbrydelser
77311;Brugstyveri af knallert;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77411;Brugstyveri af cykel;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77511;Brugstyveri af andet;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77512;Hindringer af andres ret;Straffelov § 293, stk. 2;28. kapitel – formueforbrydelser
77521;Brugstyveri af EDB-materiel;Straffelov § 293, stk. 1;28. kapitel – formueforbrydelser
77611;Ulovlig selvtægt;Straffelov § 294;28. kapitel – formueforbrydelser
77612;Ulovlig inddæmning;Straffelov § 295;28. kapitel – formueforbrydelser
77621;Svig, der ikke er bedrageri;Straffelov § 296, stk. 1;28. kapitel – formueforbrydelser
77622;Svig, der ikke er bedrageri (skærpende omstændighed);Straffelov § 296, stk. 2;28. kapitel – formueforbrydelser
77624;Uagtsomt svig (ikke bedrageri);Straffelov § 296, stk. 2;28. kapitel – formueforbrydelser
77625;Uagtsomt svig (ikke bedrageri);Straffelov § 296, stk. 3;28. kapitel – formueforbrydelser
77631;Urigtige oplysninger om et firmas økonomi;Straffelov § 297;28. kapitel – formueforbrydelser
77641;Svigagtig opnåelse af kredit;Straffelov § 298, nr. 1;28. kapitel – formueforbrydelser
77643;Ulovligt forbrug af forudbetalt vederlag;Straffelov § 298, nr. 2;28. kapitel – formueforbrydelser
77645;Bortfjernelse uden at betale;Straffelov § 298, nr. 3;28. kapitel – formueforbrydelser
77647;Tilsnigelse af adgang uden at betale;Straffelov § 298, nr. 4;28. kapitel – formueforbrydelser
77651;Returkommission;Straffelov § 299;28. kapitel – formueforbrydelser
77655;Forretningshemmeligheder, overtrædelse, skærpende omstændigheder (Ny fra 2019);Straffelov § 299 a;28. kapitel – formueforbrydelser
77656;Markedsføringsloven, skærpende omstændigheder (Udgået 2019);Straffelov § 299 a;28. kapitel – formueforbrydelser
77657;Ophavskrænkelse, skærpende omstændigheder;Straffelov § 299 b;28. kapitel – formueforbrydelser
77658;Piratkopiering, særligt skærpende omstændigheder;Straffelov § 299b;28. kapitel – formueforbrydelser
77659;Kartelaftale, særligt skærpende omstændigheder;Straffelov;28. kapitel – formueforbrydelser
77660;Insiderhandel/kursmanipulation, skærpende omstændigheder;Straffelov § 299 d;28. kapitel – formueforbrydelser
77661;Ulovlig forværrelse af formuestilling;Straffelov § 300;28. kapitel – formueforbrydelser
77671;Udnyttelse af andres vildfarelse;Straffelov § 300a;28. kapitel – formueforbrydelser
77675;Udnyttelse af andres økonomiske vanskeligheder;Straffelov § 300b;28. kapitel – formueforbrydelser
77681;Efterfølgende åger;Straffelov § 300c;28. kapitel – formueforbrydelser
77685;Betalingsmiddel/-kort, uberettiget anvendelse, videregivelse;Straffelov § 301;28. kapitel – formueforbrydelser
77686;Kode til informationssystem, uberettiget anskaffelse/videregivelse (Udgået 2019);Straffelov § 301 a;28. kapitel – formueforbrydelser
77691;Uorden i forretningsbøger;Straffelov § 302;28. kapitel – formueforbrydelser
77694;Uagtsomt hæleri;Straffelov § 303;28. kapitel – formueforbrydelser
77697;Ulovlig stemmeafgivning vedrørende økonomi;Straffelov § 304;28. kapitel – formueforbrydelser
77698;Bestikkelse af voldgiftsdommer;Straffelov § 304 a;28. kapitel – formueforbrydelser
80100;Færdselsuheld (FUH);Færdselslov;Færdsel
80111;FUH. Ringe materiel skade med personskade;Færdselslov;Færdsel
80112;FUH. Ringe materiel skade uden personskade;Færdselslov;Færdsel
80113;FUH. Betydelig materiel skade med personskade;Færdselslov;Færdsel
80114;FUH. Betydelig materiel skade uden personskade;Færdselslov;Færdsel
80115;FUH. Ingen materiel skade med personskade;Færdselslov;Færdsel
80116;FUH. Spirituskørsel med personskade;Færdselslov § 53, stk. 1;Færdsel
80117;FUH. Spirituskørsel uden personskade;Færdselslov § 53, stk. 1;Færdsel
80119;FUH. Motordrevet køretøj, euforiserende stoffer med personskade;Færdselslov § 54, stk. 1;Færdsel
80120;FUH. Spiritus- og promillekørsel med personskade;Færdselslov;Færdsel
80121;FUH. Motorfører med høj promille med personskade;Færdselslov § 53, stk. 1;Færdsel
80122;FUH. Spirituskørsel, ej betryggende med personskade;Færdselslov § 53, stk. 2;Færdsel
80123;FUH. Motorfører, promillekørsel med personskade;Færdselslov § 53, stk. 3;Færdsel
80124;FUH. Motorfører medicin mv. med personskade;Færdselslov § 54, stk. 1;Færdsel
80125;FUH. Knallertkører spirituspåvirket med personskade;Færdselslov § 53, stk. 2;Færdsel
80126;FUH. Knallertkører medicin mv. med personskade;Færdselslov § 54, stk. 1;Færdsel
80127;FUH. Cyklist mv., spirituspåvirket med personskade;Færdselslov § 54, stk. 2;Færdsel
80128;FUH. Cyklist mv., medicin mv. med personskade;Færdselslov § 54, stk. 2;Færdsel
80129;FUH. Motorfører medicin mv. med personskade;Færdselslov § 54, stk. 2;Færdsel
80130;FUH. Spiritus- og promillekørsel uden personskade;Færdselslov;Færdsel
80131;FUH. Motorfører med høj promille uden personskade;Færdselslov § 53, stk. 1;Færdsel
80132;FUH. Spirituskørsel, ej betryggende uden personskade;Færdselslov § 53, stk. 2;Færdsel
80133;FUH. Motorfører, promillekørsel uden personskade;Færdselslov § 53, stk. 3;Færdsel
80134;FUH. Motorfører, medicin mv. uden personskade;Færdselslov § 54, stk. 1;Færdsel
80135;FUH. Knallertkører, spirituspåvirket uden personskade;Færdselslov § 53, stk. 2;Færdsel
80136;FUH. Knallertkører, medicin mv. uden personskade;Færdselslov § 54, stk. 1;Færdsel
80137;FUH. Cyklist mv., spirituspåvirket uden personskade;Færdselslov § 54, stk. 2;Færdsel
80138;FUH. Cyklist, medicin mv. uden personskade;Færdselslov § 54, stk. 2;Færdsel
80139;FUH. Knallertkører medicin mv. med personskade;Færdselslov § 54, stk. 2;Færdsel
80140;FUH. Cyklist mv., spirituspåvirket med personskade;Færdselslov § 54, stk. 3;Færdsel
80141;FUH. Knallertkører med høj promille med personskade;Færdselslov § 53, stk. 1;Færdsel
80142;FUH. Cyklist mv. medicin mv. med personskade;Færdselslov § 54, stk. 3;Færdsel
80143;FUH. Knallertkører, promillekørsel med personskade;Færdselslov § 53, stk. 3;Færdsel
80144;FUH. Motorfører, medicin mv. uden personskade;Færdselslov § 54, stk.2;Færdsel
80145;FUH. Knallertkører, medicin mv. uden personskade;Færdselslov § 54, stk. 2;Færdsel
80146;FUH. Cyklist mv., spirituspåvirket uden personskade;Færdselslov § 54, stk. 3;Færdsel
80147;FUH. Cyklist, medicin mv. uden personskade;Færdselslov § 54, stk. 3;Færdsel
80148;FUH. Motordrevet køretøj, euforiserende stoffer uden personskade;Færdselslov § 54, stk. 1;Færdsel
80151;FUH. Motorfører med promille under 0,81 med personskade;Færdselslov § 53, stk. 3;Færdsel
80152;FUH. Knallertkører med promille under 0,81 med personskade;Færdselslov § 53, stk. 3;Færdsel
80171;FUH. Knallertkører med høj promille uden personskade;Færdselslov § 53, stk. 1;Færdsel
80173;FUH. Knallertkører, promillekørsel uden personskade;Færdselslov § 53, stk. 3;Færdsel
80181;FUH. Motorfører med promille under 0,81 uden personskade;Færdselslov § 53, stk. 3;Færdsel
80182;FUH. Knallertkører med promille under 0,81 uden personskade;Færdselslov § 53, stk. 3;Færdsel
80200;Spiritus- og promillekørsel;Færdselslov;Færdsel
80201;Spirituskørsel;Færdselslov § 53, stk. 1;Færdsel
80210;Spiritus, motorfører med høj promille;Færdselslov § 53, stk. 1;Færdsel
80220;Spirituskørsel, ej betryggende;Færdselslov § 53, stk. 2;Færdsel
80230;Spiritus, motorfører, promillekørsel;Færdselslov § 53, stk. 3;Færdsel
80233;Spiritus, motorfører med promille under 0,81;Færdselslov § 53, stk. 3;Færdsel
80239;Fører af motordrevet køretøj, euforiserende stoffer;Færdselslov § 54, stk.1;Færdsel
80240;Motorfører, medicin mv.;Færdselslov § 54, stk. 1;Færdsel
80241;Motorfører, medicin mv.;Færdselslov § 54, stk. 2;Færdsel
80242;Motordrevet køretøj, euforiserende stoffer uden recept;Færdselslov § 54, stk. 1, nr. 1 og 2;Færdsel
80243;Motordrevet køretøj, euforiserende stoffer med recept;Færdselslov § 54, stk. 1, nr. 3 og 4;Færdsel
80244;Fører af motordrevet køretøj, euforiserende stoffer uden recept;Færdselslov § 54, stk. 1, 1. pkt.;Færdsel
80245;Fører af motordrevet køretøj, euforiserende stoffer med recept;Færdselslov § 54, stk. 1, 2. pkt.;Færdsel
80246;THC (klip), uden recept, motordrevet køretøj, bortset fra lille knallert;Færdselslov § 54, stk. 1, nr. 2;Færdsel
